time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-25T04:52:53.145Z,43.7473,-128.6544,10,3.4,ml,,237,2.211,0.55,us,us6000ccvj,2020-10-25T07:39:39.613Z,"off the coast of Oregon",earthquake,10.3,2,0.051,50,reviewed,us,us
2020-10-25T04:41:21.789Z,54.2156,-159.614,25.27,3.4,ml,,217,0.616,0.44,us,us6000ccwa,2020-10-27T21:31:08.201Z,"137 km SSE of Sand Point, Alaska",earthquake,4.9,12.8,0.064,32,reviewed,us,us
2020-10-25T03:32:28.879Z,53.9852,-159.5718,10,3.5,ml,,217,0.847,0.51,us,us6000ccus,2020-10-25T05:49:59.268Z,"161 km SSE of Sand Point, Alaska",earthquake,4.2,1.9,0.074,24,reviewed,us,us
2020-10-25T03:08:32.000Z,36.5165,-81.0826667,1.42,2.81,md,31,70,0.01259,0.11,se,se60313082,2020-10-28T05:48:53.004Z,"3 km ENE of Sparta, North Carolina",earthquake,0.21,0.41,0.196,23,reviewed,se,se
2020-10-25T00:32:20.620Z,35.6216667,-117.5735,8.59,2.71,ml,41,53,0.077,0.12,ci,ci39444167,2020-10-26T17:37:52.155Z,"9km E of Ridgecrest, CA",earthquake,0.12,0.34,0.135,68,reviewed,ci,ci
2020-10-24T23:06:50.570Z,36.0354996,-120.5960007,4.89,2.57,md,37,157,0.05473,0.06,nc,nc73474766,2020-10-25T13:50:31.000Z,"21km NW of Parkfield, CA",earthquake,0.25,0.32,0.14,34,automatic,nc,nc
2020-10-24T22:52:34.629Z,54.4288,-159.5398,33.1,4,mb,,194,0.404,0.87,us,us6000ccsr,2020-10-25T05:40:17.890Z,"118 km SSE of Sand Point, Alaska",earthquake,6.6,3.7,0.157,11,reviewed,us,us
2020-10-24T22:44:02.333Z,38.1671,-118.0696,5.8,2.9,ml,31,68.51,0.016,0.1068,nn,nn00780270,2020-10-25T20:26:59.268Z,"25 km S of Mina, Nevada",earthquake,,0.8,0.38,16,reviewed,nn,nn
2020-10-24T22:23:01.035Z,54.5699,-159.59,37.02,4.8,mwr,,143,0.261,0.65,us,us6000ccsd,2020-10-24T22:53:03.433Z,"103 km SE of Sand Point, Alaska",earthquake,4.4,5.7,0.059,28,reviewed,us,us
2020-10-24T21:42:05.034Z,54.5665,-159.8134,21.31,4.1,mwr,,162,0.295,1.03,us,us6000ccry,2020-10-24T22:55:19.040Z,"96 km SSE of Sand Point, Alaska",earthquake,7.3,6.2,0.044,49,reviewed,us,us
